Base_Visa_Type,Full_Visa_Type,Location,Subtype,Earliest_Date,Number_of_Dates,Number_of_Appointments,Last_Updated,Relative_Time
B1,B1 (Regular),CHENNAI,Regular,"23 Sep, 25",1,1,2025-08-14 01:32:12,10h ago
B1,B1 (Regular),CHENNAI VAC,Regular,"12 May, 26",1,1,2025-08-14 06:31:36,5h ago
B1,B1 (Regular),HYDERABAD,Regular,"02 Sep, 25",1,1,2025-08-13 17:00:26,19h ago
B1,B1 (Regular),HYDERABAD VAC,Regular,"01 Jun, 26",11,1,2025-08-14 06:35:08,5h ago
B1,B1 (Regular),KOLKATA,Regular,"03 Sep, 25",1,1,2025-08-12 14:32:03,1d ago
B1,B1 (Regular),KOLKATA VAC,Regular,"23 Jun, 26",15,7,2025-08-14 06:18:28,5h ago
B1,B1 (Regular),MUMBAI,Regular,"05 Sep, 25",1,0,2025-08-14 05:31:36,6h ago
B1,B1 (Regular),MUMBAI VAC,Regular,"25 Jun, 26",1,1,2025-08-14 06:31:33,5h ago
B1,B1 (Regular),NEW DELHI,Regular,"25 Aug, 25",4,1,2025-08-14 01:02:16,11h ago
B1,B1 (Dropbox),NEW DELHI VAC,Dropbox,"04 Aug, 25",92,236,2025-07-26 07:28:18,19d ago
B1,B1 (Regular),NEW DELHI VAC,Regular,"25 Aug, 25",27,6,2025-08-14 06:35:13,5h ago
B1/B2,B1/B2 (Regular),CHENNAI,Regular,"21 Aug, 25",1,2,2025-08-14 06:23:33,5h ago
B1/B2,B1/B2 (Regular),CHENNAI VAC,Regular,"12 May, 26",1,1,2025-08-14 06:34:00,5h ago
B1/B2,B1/B2 (Regular),HYDERABAD,Regular,"30 Sep, 25",1,1,2025-08-14 05:31:04,6h ago
B1/B2,B1/B2 (Regular),HYDERABAD VAC,Regular,"02 Jun, 26",10,2,2025-08-14 06:35:17,5h ago
B1/B2,B1/B2 (Regular),KOLKATA,Regular,"21 Aug, 25",3,1,2025-08-14 04:58:39,7h ago
B1/B2,B1/B2 (Regular),KOLKATA VAC,Regular,"02 Jun, 26",27,0,2025-08-14 06:35:22,5h ago
B1/B2,B1/B2 (Regular),MUMBAI,Regular,"22 Aug, 25",1,1,2025-08-14 05:37:45,6h ago
B1/B2,B1/B2 (Dropbox),MUMBAI VAC,Dropbox,"18 Jun, 26",1,1,2025-08-11 18:41:06,2d ago
B1/B2,B1/B2 (Regular),MUMBAI VAC,Regular,"25 Jun, 26",1,1,2025-08-14 06:32:08,5h ago
B1/B2,B1/B2 (Regular),NEW DELHI,Regular,"21 Aug, 25",3,2,2025-08-14 05:58:24,6h ago
B1/B2,B1/B2 (Dropbox),NEW DELHI VAC,Dropbox,"25 Aug, 25",55,234,2025-08-11 18:41:12,2d ago
B1/B2,B1/B2 (Emergency),NEW DELHI VAC,Emergency,"01 Oct, 25",49,188,2025-07-17 10:25:09,28d ago
B1/B2,B1/B2 (Regular),NEW DELHI VAC,Regular,"25 Aug, 25",15,3,2025-08-14 06:35:21,5h ago
B2,B2 (Regular),CHENNAI,Regular,"21 Aug, 25",1,2,2025-08-14 04:37:04,7h ago
B2,B2 (Regular),CHENNAI VAC,Regular,"12 May, 26",1,1,2025-08-14 06:31:58,5h ago
B2,B2 (Regular),HYDERABAD,Regular,"02 Sep, 25",1,0,2025-08-14 04:32:03,7h ago
B2,B2 (Regular),HYDERABAD VAC,Regular,"29 Jul, 26",2,162,2025-08-14 06:35:07,5h ago
B2,B2 (Regular),KOLKATA,Regular,"26 Aug, 25",1,3,2025-08-13 06:09:52,1d ago
B2,B2 (Regular),KOLKATA VAC,Regular,"10 Aug, 26",9,4,2025-08-14 06:33:42,5h ago
B2,B2 (Regular),MUMBAI,Regular,"05 Sep, 25",1,2,2025-08-14 05:30:48,6h ago
B2,B2 (Dropbox),MUMBAI VAC,Dropbox,"04 Jun, 26",1,1,2025-08-14 02:38:36,9h ago
B2,B2 (Regular),MUMBAI VAC,Regular,"25 Jun, 26",1,1,2025-08-14 06:31:13,5h ago
B2,B2 (Regular),NEW DELHI,Regular,"21 Aug, 25",4,11,2025-08-14 04:37:12,7h ago
B2,B2 (Dropbox),NEW DELHI VAC,Dropbox,"25 Aug, 25",40,49,2025-08-14 02:38:39,9h ago
B2,B2 (Regular),NEW DELHI VAC,Regular,"12 Aug, 26",13,185,2025-08-14 06:34:54,5h ago
F-1,F-1 (Regular),CHENNAI,Regular,"21 Aug, 25",1,1,2025-08-14 05:31:49,6h ago
F-1,F-1 (Dropbox),CHENNAI VAC,Dropbox,"14 Aug, 25",1,1,2025-07-25 10:36:04,20d ago
F-1,F-1 (Regular),CHENNAI VAC,Regular,"21 Aug, 25",2,0,2025-08-14 04:41:59,7h ago
F-1,F-1 (Regular),HYDERABAD,Regular,"21 Aug, 25",1,1,2025-08-14 05:19:04,6h ago
F-1,F-1 (Regular),HYDERABAD VAC,Regular,"19 Aug, 25",1,1,2025-08-14 05:33:49,6h ago
F-1,F-1 (Regular),KOLKATA VAC,Regular,"18 Aug, 25",3,7,2025-08-04 10:33:17,10d ago
F-1,F-1 (Regular),MUMBAI,Regular,"25 Aug, 25",1,0,2025-08-12 07:03:07,2d ago
F-1,F-1 (Regular),MUMBAI VAC,Regular,"19 Aug, 25",1,1,2025-08-14 05:33:49,6h ago
F-1,F-1 (Regular),NEW DELHI,Regular,"29 Aug, 25",1,0,2025-08-12 07:26:57,2d ago
F-1,F-1 (Regular),NEW DELHI VAC,Regular,"17 Aug, 25",1,2,2025-08-14 05:33:45,6h ago
H-1B,H-1B (Regular),CHENNAI,Regular,"03 Oct, 25",6,211,2025-08-14 06:11:34,5h ago
H-1B,H-1B (Dropbox),CHENNAI VAC,Dropbox,"21 Aug, 25",38,1,2025-08-14 05:08:09,7h ago
H-1B,H-1B (Emergency),CHENNAI VAC,Emergency,"29 Jul, 25",12,58,2025-07-28 03:25:16,17d ago
H-1B,H-1B (Regular),HYDERABAD,Regular,"29 Sep, 25",4,31,2025-08-14 06:10:32,5h ago
H-1B,H-1B (Emergency),HYDERABAD VAC,Emergency,"07 Aug, 25",32,48,2025-07-28 03:25:34,17d ago
H-1B,H-1B (Regular),KOLKATA,Regular,"07 Oct, 25",7,0,2025-08-06 00:34:26,8d ago
H-1B,H-1B (Regular),KOLKATA VAC,Regular,"11 Sep, 25",5,3,2025-08-13 21:19:15,14h ago
H-1B,H-1B (Regular),MUMBAI,Regular,"25 Jul, 25",1,2,2025-07-23 12:37:48,21d ago
H-1B,H-1B (Emergency),MUMBAI VAC,Emergency,"13 Aug, 25",10,21,2025-07-28 03:25:07,17d ago
H-1B,H-1B (Regular),MUMBAI VAC,Regular,"22 Aug, 25",22,2,2025-08-14 06:34:22,5h ago
H-1B,H-1B (Regular),NEW DELHI,Regular,"22 Oct, 25",1,2,2025-08-04 09:31:17,10d ago
H-1B,H-1B (Regular),NEW DELHI VAC,Regular,"27 Oct, 25",1,2,2025-08-14 06:33:43,5h ago
H-4,H-4 (Regular),CHENNAI,Regular,"08 Sep, 25",4,2,2025-08-14 05:03:50,7h ago
H-4,H-4 (Dropbox),CHENNAI VAC,Dropbox,"13 Aug, 25",42,11,2025-08-11 04:29:03,3d ago
H-4,H-4 (Regular),HYDERABAD,Regular,"12 Sep, 25",1,3,2025-08-14 06:02:26,6h ago
H-4,H-4 (Regular),KOLKATA,Regular,"19 Sep, 25",3,76,2025-08-10 06:39:03,4d ago
H-4,H-4 (Regular),KOLKATA VAC,Regular,"14 Aug, 25",1,2,2025-08-13 10:01:54,1d ago
H-4,H-4 (Regular),MUMBAI VAC,Regular,"22 Aug, 25",22,1,2025-08-14 06:03:06,6h ago
H-4,H-4 (Regular),NEW DELHI,Regular,"03 Sep, 25",6,6,2025-08-06 04:03:57,8d ago
H-4,H-4 (Regular),NEW DELHI VAC,Regular,"27 Oct, 25",1,1,2025-08-14 06:02:57,6h ago
C-1,C-1 (Regular),CHENNAI,Regular,"01 Aug, 25",8,196,2025-07-21 06:43:35,24d ago
C-1,C-1 (Regular),CHENNAI VAC,Regular,"23 Jul, 25",28,68,2025-07-21 06:43:06,24d ago
C-1,C-1 (Regular),HYDERABAD VAC,Regular,"22 Jul, 25",35,12,2025-07-21 06:42:39,24d ago
C-1,C-1 (Regular),MUMBAI VAC,Regular,"07 Aug, 26",11,9,2025-07-21 06:35:58,24d ago
C-1,C-1 (Regular),NEW DELHI VAC,Regular,"06 Aug, 26",10,3,2025-07-21 06:03:56,24d ago
C1/D,C1/D (Regular),CHENNAI,Regular,"04 Sep, 25",3,9,2025-08-13 04:42:34,1d ago
C1/D,C1/D (Regular),CHENNAI VAC,Regular,"29 Aug, 25",24,9,2025-08-13 17:00:44,19h ago
C1/D,C1/D (Regular),MUMBAI,Regular,"04 Sep, 25",5,175,2025-08-12 08:47:49,2d ago
C1/D,C1/D (Regular),MUMBAI VAC,Regular,"20 Aug, 25",41,29,2025-08-13 17:02:13,19h ago
C1/D,C1/D (Regular),NEW DELHI,Regular,"07 Oct, 25",5,6,2025-08-09 16:19:15,4d ago
C1/D,C1/D (Dropbox),NEW DELHI VAC,Dropbox,"25 Jul, 25",97,65,2025-07-24 05:04:14,21d ago
C1/D,C1/D (Regular),NEW DELHI VAC,Regular,"16 Sep, 25",21,8,2025-08-13 17:02:27,19h ago
I,I (Regular),MUMBAI,Regular,"12 Aug, 25",1,1,2025-07-28 14:32:20,16d ago
I,I (Regular),MUMBAI VAC,Regular,"23 Sep, 25",6,1,2025-07-28 11:01:21,17d ago
I,I (Regular),NEW DELHI,Regular,"18 Aug, 25",2,1,2025-07-28 14:31:33,16d ago
I,I (Regular),NEW DELHI VAC,Regular,"06 Aug, 25",85,190,2025-07-28 17:01:08,16d ago
L-1,L-1 (Individual) (Regular),CHENNAI,Regular,"15 Sep, 25",9,110,2025-08-14 06:06:46,6h ago
L-1,L-1 (Blanket) (Regular),CHENNAI,Regular,"15 Sep, 25",11,77,2025-08-14 06:01:30,6h ago
L-1,L-1 (Individual) (Dropbox),CHENNAI VAC,Dropbox,"19 Aug, 25",38,369,2025-08-14 01:14:02,10h ago
L-1,L-1 (Individual) (Regular),HYDERABAD,Regular,"12 Sep, 25",10,3,2025-08-14 06:06:05,6h ago
L-1,L-1 (Blanket) (Regular),KOLKATA VAC,Regular,"25 Jul, 25",6,10,2025-07-24 09:34:23,21d ago
L-1,L-1 (Individual) (Regular),MUMBAI VAC,Regular,"02 Sep, 25",21,9,2025-08-14 01:47:11,10h ago
L-1,L-1 (Blanket) (Regular),MUMBAI VAC,Regular,"20 Aug, 25",31,3,2025-08-12 14:53:13,1d ago
L-1,L-1 (Individual) (Regular),NEW DELHI VAC,Regular,"27 Oct, 25",2,3,2025-08-13 20:33:18,15h ago
L-1,L-1 (Blanket) (Regular),NEW DELHI VAC,Regular,"22 Aug, 25",34,3,2025-08-12 14:53:22,1d ago
F41,F41 (Regular),HYDERABAD VAC,Regular,"24 Jul, 25",2,2,2025-07-23 08:25:05,22d ago
F41,F41 (Regular),MUMBAI VAC,Regular,"13 Aug, 25",15,52,2025-08-12 06:46:06,2d ago
CR1,CR1 (Regular),CHENNAI VAC,Regular,"07 Sep, 25",6,43,2025-08-10 14:38:48,3d ago
CR1,CR1 (Regular),MUMBAI VAC,Regular,"13 Aug, 25",16,29,2025-08-12 10:49:37,2d ago
IR5,IR5 (Dropbox),CHENNAI VAC,Dropbox,"20 Jul, 25",6,41,2025-07-15 14:41:21,29d ago
IR5,IR5 (Regular),CHENNAI VAC,Regular,"17 Aug, 25",8,10,2025-08-12 12:24:49,1d ago
IR5,IR5 (Dropbox),HYDERABAD VAC,Dropbox,"21 Jul, 25",4,2,2025-07-17 12:45:58,27d ago
IR5,IR5 (Regular),MUMBAI IV,Regular,"26 Aug, 25",6,1,2025-08-13 12:45:58,23h ago
IR5,IR5 (Dropbox),MUMBAI VAC,Dropbox,"21 Jul, 25",29,68,2025-07-17 12:46:23,27d ago
IR5,IR5 (Regular),MUMBAI VAC,Regular,"14 Aug, 25",25,74,2025-08-12 11:41:37,2d ago
IR5,IR5 (Dropbox),NEW DELHI VAC,Dropbox,"31 Aug, 25",1,7,2025-07-15 14:33:54,29d ago
L-2,L-2 (Blanket) (Regular),CHENNAI,Regular,"06 Oct, 25",15,110,2025-08-13 06:45:40,1d ago
L-2,L-2 (Individual) (Regular),CHENNAI,Regular,"06 Oct, 25",15,98,2025-08-13 21:50:56,14h ago
L-2,L-2 (Individual) (Dropbox),CHENNAI VAC,Dropbox,"25 Jul, 25",1,4,2025-07-24 00:11:46,21d ago
L-2,L-2 (Blanket) (Dropbox),CHENNAI VAC,Dropbox,"31 Jul, 25",1,3,2025-07-26 08:01:23,19d ago
L-2,L-2 (Blanket) (Regular),HYDERABAD,Regular,"09 Oct, 25",5,180,2025-08-13 06:45:44,1d ago
L-2,L-2 (Individual) (Regular),HYDERABAD,Regular,"23 Oct, 25",5,30,2025-08-10 19:05:39,3d ago
L-2,L-2 (Blanket) (Regular),KOLKATA VAC,Regular,"28 Jul, 25",1,1,2025-07-23 00:32:14,22d ago
L-2,L-2 (Blanket) (Regular),MUMBAI VAC,Regular,"20 Aug, 25",24,3,2025-08-13 06:44:33,1d ago
L-2,L-2 (Individual) (Regular),MUMBAI VAC,Regular,"19 Aug, 25",22,25,2025-08-13 21:49:39,14h ago
L-2,L-2 (Blanket) (Regular),NEW DELHI VAC,Regular,"28 Oct, 25",1,4,2025-08-11 07:09:47,3d ago
L-2,L-2 (Individual) (Regular),NEW DELHI VAC,Regular,"27 Oct, 25",2,2,2025-08-10 14:09:16,3d ago
R-1,R-1 (Regular),CHENNAI,Regular,"17 Sep, 25",14,8,2025-08-13 10:56:17,1d ago
R-1,R-1 (Regular),CHENNAI VAC,Regular,"25 Sep, 25",10,52,2025-08-13 14:29:31,21h ago
R-1,R-1 (Regular),HYDERABAD,Regular,"02 Sep, 25",3,1,2025-08-13 14:29:57,21h ago
R-1,R-1 (Regular),HYDERABAD VAC,Regular,"22 Sep, 25",10,1,2025-08-13 14:29:19,21h ago
R-1,R-1 (Regular),KOLKATA,Regular,"21 Aug, 25",7,10,2025-08-13 08:33:46,1d ago
R-1,R-1 (Regular),KOLKATA VAC,Regular,"04 Sep, 25",24,1,2025-08-13 14:29:38,21h ago
R-1,R-1 (Regular),MUMBAI,Regular,"09 Sep, 25",1,4,2025-08-13 08:32:55,1d ago
R-1,R-1 (Regular),MUMBAI VAC,Regular,"25 Sep, 25",4,1,2025-08-13 08:27:03,1d ago
R-1,R-1 (Regular),NEW DELHI,Regular,"11 Sep, 25",1,2,2025-08-13 08:32:52,1d ago
